,urls,pgs
87,https://www.dollargeneral.com/food/cereal-breakfast.html,
88,https://www.dollargeneral.com/food/snacks-cookies.html,2
89,https://www.dollargeneral.com/food/baking-cakes-mixes.html,
90,https://www.dollargeneral.com/food/candy-gum.html,2
91,https://www.dollargeneral.com/food/baby-food.html,
92,https://www.dollargeneral.com/food/meals-side-dishes/prepared-meals.html,
93,https://www.dollargeneral.com/food/meals-side-dishes/pasta-rice.html,
94,https://www.dollargeneral.com/food/meals-side-dishes/vegetables-beans.html,
95,https://www.dollargeneral.com/food/meals-side-dishes/condiments-spices.html,
96,https://www.dollargeneral.com/food/meals-side-dishes/soups.html,
97,https://www.dollargeneral.com/food/beverages/coffee-and-tea.html,2
98,https://www.dollargeneral.com/food/beverages/soft-drinks.html,2
99,https://www.dollargeneral.com/food/beverages/water.html,
100,https://www.dollargeneral.com/food/beverages/juice.html,
101,https://www.dollargeneral.com/food/beverages/powdered-drinks-mixes.html,
102,https://www.dollargeneral.com/household/storage.html,
103,https://www.dollargeneral.com/household/as-seen-on-tv.html,
104,https://www.dollargeneral.com/household/clothing-care.html,
105,https://www.dollargeneral.com/household/lighters.html,
106,https://www.dollargeneral.com/household/paper-plastic/paper-towels-napkins.html,
107,https://www.dollargeneral.com/household/paper-plastic/bath-facial-tissue.html,
108,https://www.dollargeneral.com/household/paper-plastic/paper-plastic-tableware.html,
109,https://www.dollargeneral.com/household/paper-plastic/food-storage.html,
110,https://www.dollargeneral.com/household/kitchen-dining/kitchen-appliances.html,
111,https://www.dollargeneral.com/household/kitchen-dining/cookware.html,
112,https://www.dollargeneral.com/household/kitchen-dining/kitchen-essentials-tools.html,
113,https://www.dollargeneral.com/household/kitchen-dining/catering-serveware-party.html,
114,https://www.dollargeneral.com/household/home-decor-curtains/picture-frames.html,
115,https://www.dollargeneral.com/household/home-decor-curtains/curtains.html,
116,https://www.dollargeneral.com/household/home-decor-curtains/candles-candleholders.html,
117,https://www.dollargeneral.com/household/home-decor-curtains/clocks.html,
118,https://www.dollargeneral.com/household/home-decor-curtains/lamps-and-lampshades.html,
119,https://www.dollargeneral.com/household/bed-bath/bedding.html,
120,https://www.dollargeneral.com/household/bed-bath/bath-towels.html,
121,https://www.dollargeneral.com/household/bed-bath/bath-accessories.html,
122,https://www.dollargeneral.com/household/batteries-electronics/batteries.html,
123,https://www.dollargeneral.com/household/batteries-electronics/electronics.html,
124,https://www.dollargeneral.com/household/batteries-electronics/phones-accessories.html,
125,https://www.dollargeneral.com/pet/dog-food.html,
126,https://www.dollargeneral.com/pet/dog-treats.html,
127,https://www.dollargeneral.com/pet/dog-accessories-cleaning.html,
128,https://www.dollargeneral.com/pet/cat-food.html,
129,https://www.dollargeneral.com/pet/cat-treats.html,
130,https://www.dollargeneral.com/pet/cat-litter.html,
131,https://www.dollargeneral.com/pet/cat-accessories.html,
132,https://www.dollargeneral.com/baby/diapers-wipes.html,
133,https://www.dollargeneral.com/baby/baby-apparel-accessories.html,
134,https://www.dollargeneral.com/baby/health-safety.html,
135,https://www.dollargeneral.com/baby/baby-bath-skincare.html,
136,https://www.dollargeneral.com/baby/baby-food-formula.html,
137,https://www.dollargeneral.com/apparel/infants-toddlers.html,
138,https://www.dollargeneral.com/apparel/rain-gear.html,
139,https://www.dollargeneral.com/apparel/slippers-shoes.html,
140,https://www.dollargeneral.com/apparel/shoe-care.html,
141,https://www.dollargeneral.com/apparel/socks-for-the-family.html,
142,https://www.dollargeneral.com/apparel/womens-apparel/end-of-season-apparel-clearance.html,
143,https://www.dollargeneral.com/apparel/womens-apparel/dresses.html,
144,https://www.dollargeneral.com/apparel/womens-apparel/womens-tops.html,
145,https://www.dollargeneral.com/apparel/womens-apparel/womens-bottoms.html,
146,https://www.dollargeneral.com/apparel/womens-apparel/women-s-activewear.html,
147,https://www.dollargeneral.com/apparel/mens-apparel/mens-tops.html,
148,https://www.dollargeneral.com/apparel/mens-apparel/caps.html,
149,https://www.dollargeneral.com/apparel/mens-apparel/mens-underwear.html,
150,https://www.dollargeneral.com/apparel/mens-apparel/mens-socks.html,
151,https://www.dollargeneral.com/apparel/mens-apparel/mens-accessories.html,
152,https://www.dollargeneral.com/apparel/girls-apparel/girls-tops.html,
153,https://www.dollargeneral.com/apparel/girls-apparel/girls-underwear.html,
154,https://www.dollargeneral.com/apparel/girls-apparel/girls-socks.html,
155,https://www.dollargeneral.com/apparel/boys-apparel/boys-underwear.html,
156,https://www.dollargeneral.com/apparel/boys-apparel/boys-socks.html,
157,https://www.dollargeneral.com/apparel/boys-apparel/boys-undershirts.html,
158,https://www.dollargeneral.com/toys/shop-all-toys.html,2
159,https://www.dollargeneral.com/toys/video-games-electronics.html,
160,https://www.dollargeneral.com/toys/active-and-outdoor-play.html,
161,https://www.dollargeneral.com/toys/dolls-stuffed-animals.html,
162,https://www.dollargeneral.com/toys/learning-pretend.html,
163,https://www.dollargeneral.com/toys/baby-preschool-toys.html,
164,https://www.dollargeneral.com/toys/puzzles-games-books.html,
165,https://www.dollargeneral.com/toys/vehicles-trains-remote-control.html,
166,https://www.dollargeneral.com/office-school/pens-pencils.html,
167,https://www.dollargeneral.com/office-school/coloring-supplies.html,
168,https://www.dollargeneral.com/office-school/paper-notebooks.html,
169,https://www.dollargeneral.com/office-school/tape-glue-adhesives.html,
170,https://www.dollargeneral.com/office-school/desk-supplies.html,
171,https://www.dollargeneral.com/office-school/envelopes-labels.html,
172,https://www.dollargeneral.com/office-school/arts-crafts.html,
173,https://www.dollargeneral.com/auto-hardware/auto-cleaning.html,
174,https://www.dollargeneral.com/auto-hardware/tools.html,
175,https://www.dollargeneral.com/auto-hardware/home-improvement-supplies.html,
176,https://www.dollargeneral.com/auto-hardware/electrical-lighting.html,
177,https://www.dollargeneral.com/party-occasions/balloons.html,
178,https://www.dollargeneral.com/party-occasions/cake-cupcake-supplies.html,
179,https://www.dollargeneral.com/party-occasions/decorations.html,
180,https://www.dollargeneral.com/party-occasions/favors.html,
181,https://www.dollargeneral.com/party-occasions/gift-packaging.html,
182,https://www.dollargeneral.com/party-occasions/party-accessories.html,
183,https://www.dollargeneral.com/party-occasions/pinatas.html,
184,https://www.dollargeneral.com/party-occasions/tableware.html,
185,https://www.dollargeneral.com/private-brand/clover-valley.html,2
186,https://www.dollargeneral.com/private-brand/dg-body.html,2
187,https://www.dollargeneral.com/private-brand/dg-health.html,2
188,https://www.dollargeneral.com/private-brand/dg-home.html,2
189,https://www.dollargeneral.com/private-brand/dg-baby.html,
190,https://www.dollargeneral.com/private-brand/sweet-smiles.html,
191,https://www.dollargeneral.com/private-brand/everpet.html,
192,https://www.dollargeneral.com/private-brand/other-dg-brands.html,2
